frase;emocao
A alegria tomou conta de mim;alegria
A beleza dessa paisagem me trouxe uma felicidade calma;alegria
A brisa leve me trouxe uma paz interior imensa;alegria
A chuva de hoje me traz uma calma inexplicável;alegria
A dor dessa perda está me consumindo;tristeza
A escuridão dessa noite me dá calafrios;medo
A escuridão desse corredor me deixa em pânico;medo
A escuridão desse lugar me dá arrepios;medo
A escuridão traz um arrepio que me assusta;medo
A expectativa pelo futuro me enche de esperança;alegria
A falta de apoio me faz sentir tão sozinho;tristeza
A felicidade que senti hoje foi indescritível;alegria
A ideia de falhar novamente me deixa aterrorizado;medo
A injustiça cometida é simplesmente revoltante;raiva
A luz do amanhecer me trouxe uma felicidade silenciosa;alegria
A luz do sol entrando pela janela me trouxe paz;alegria
A luz piscando no meio da noite me deixou com medo;medo
A música me deixa tão leve e contente;alegria
A perda foi tão grande que não sei como seguir em frente;tristeza
A porta rangendo me deixa arrepiado;medo
A raiva está me consumindo, estou à beira de explodir!;raiva
A raiva me consome a cada segundo;raiva
A risada das crianças me enche de alegria;alegria
A sensação de estar sendo seguido me assusta demais;medo
A sensação de estar sendo vigiado me causou pânico;medo
A sensação de liberdade me trouxe uma alegria imensa;alegria
A sensação de ser observado me deixou completamente apavorado;medo
A solidão me consome, e a tristeza me sufoca;tristeza
A sombra no canto da sala me causou arrepios;medo
A tristeza é tão grande que me sinto completamente vazio;tristeza
A tristeza me acompanha em cada passo que dou;tristeza
A tristeza me consome;tristeza
A tristeza parece estar corroendo minha alma;tristeza
A tristeza profunda me consome e não vejo saída;tristeza
A tristeza que sinto é tão forte que não consigo me mexer;tristeza
A tristeza que sinto parece infinita;tristeza
A tristeza que sinto parece ser infinita, não consigo escapar;tristeza
Algo não parece certo, estou apreensivo;medo
Aquele som no escuro me fez sentir um medo profundo;medo
As sombras nas paredes me causam arrepios;medo
Cada detalhe dessa paisagem me enche de alegria;alegria
Cada riso hoje trouxe um pouco mais de felicidade;alegria
Consegui alcançar meu objetivo, estou radiante;alegria
É difícil encontrar um motivo para continuar;tristeza
Essa dor no coração está me afundando em tristeza;tristeza
Essa ideia me dá calafrios;medo
Essa injustiça me corrói por dentro;raiva
Essa perda me deixou devastado, sem forças para continuar;tristeza
Essa situação me assusta demais;medo
Essa situação me deixa completamente furioso;raiva
Essa situação me deixa muito irritado;raiva
Essa situação me deixou sem esperanças;tristeza
Essa situação me faz afundar em tristeza;tristeza
Essa situação me faz chorar;tristeza
Essa tristeza parece não ter fim, estou completamente perdido;tristeza
Essa tristeza parece que nunca vai embora;tristeza
Essa tristeza profunda parece que nunca vai acabar;tristeza
Esse barulho à noite me fez sentir um medo inexplicável;medo
Esse é um dos dias mais felizes da minha vida;alegria
Esse ruído baixo e constante me causou arrepios;medo
Estou à beira de explodir de raiva;raiva
Estou à beira de explodir de tanto ódio;raiva
Estou abatido e desmotivado;tristeza
Estou apavorado com a situação em que estou;medo
Estou cheio de alegria;alegria
Estou com muito medo do futuro;medo
Estou com tanta raiva que mal consigo me controlar;raiva
Estou com um pressentimento ruim sobre isso;medo
Estou completamente enraivecido com essa situação;raiva
Estou explodindo de raiva, não acredito nisso;raiva
Estou farto de tanta injustiça!;raiva
Estou furioso com essa injustiça!;raiva
Estou furioso com o que ouvi hoje;raiva
Estou me afogando em uma tristeza sem fim;tristeza
Estou muito chateado com o que aconteceu;raiva
Estou prestes a explodir de raiva, não aguento mais isso!;raiva
Estou prestes a explodir de tanta raiva acumulada;raiva
Estou prestes a explodir de tanto ódio!;raiva
Estou prestes a perder o controle de tanta raiva;raiva
Estou radiante de felicidade;alegria
Estou tão animado com o que vem pela frente;alegria
Estou tão bravo que mal consigo pensar direito;raiva
Estou tão bravo que não consigo nem pensar direito;raiva
Estou tão feliz por estar aqui;alegria
Estou tão feliz que não consigo parar de sorrir;alegria
Estou tão feliz que nem consigo conter as lágrimas;alegria
Estou tão furioso que mal consigo falar;raiva
Estou tão furioso que minhas mãos tremem;raiva
Estou tão irritado com a maneira como fui tratado;raiva
Estou tão irritado com essa situação;raiva
Estou tão irritado que não consigo parar de pensar nisso;raiva
Estou tão irritado que não consigo raciocinar direito;raiva
Estou tão irritado que poderia gritar a qualquer momento;raiva
